{'Time': 0.01092857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.002357142857142857, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 6, 'Block_id': 0, 'Create_time': 0.008571428571428572, 'Deadline': 0.2, 'Offset': 5, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.011428571428571429, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0014285714285714286, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 7, 'Block_id': 0, 'Create_time': 0.01, 'Deadline': 0.2, 'Offset': 6, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.011428571428571429, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 8, 'Block_id': 0, 'Create_time': 0.011428571428571429, 'Deadline': 0.2, 'Offset': 7, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.012428571428571428, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0024285714285714284, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 7, 'Block_id': 0, 'Create_time': 0.01, 'Deadline': 0.2, 'Offset': 6, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.012857142857142857, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 9, 'Block_id': 0, 'Create_time': 0.012857142857142857, 'Deadline': 0.2, 'Offset': 8, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.012928571428571428, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0015000000000000002, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 8, 'Block_id': 0, 'Create_time': 0.011428571428571429, 'Deadline': 0.2, 'Offset': 7, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.013928571428571429, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0025000000000000005, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 8, 'Block_id': 0, 'Create_time': 0.011428571428571429, 'Deadline': 0.2, 'Offset': 7, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.014285714285714285, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 10, 'Block_id': 0, 'Create_time': 0.014285714285714285, 'Deadline': 0.2, 'Offset': 9, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01442857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0015714285714285717, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 9, 'Block_id': 0, 'Create_time': 0.012857142857142857, 'Deadline': 0.2, 'Offset': 8, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01542857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0025714285714285717, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 9, 'Block_id': 0, 'Create_time': 0.012857142857142857, 'Deadline': 0.2, 'Offset': 8, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.015714285714285715, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 11, 'Block_id': 0, 'Create_time': 0.015714285714285715, 'Deadline': 0.2, 'Offset': 10, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.015928571428571427, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0016428571428571434, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 10, 'Block_id': 0, 'Create_time': 0.014285714285714285, 'Deadline': 0.2, 'Offset': 9, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.016928571428571428, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0026428571428571434, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 10, 'Block_id': 0, 'Create_time': 0.014285714285714285, 'Deadline': 0.2, 'Offset': 9, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.017142857142857144, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 12, 'Block_id': 0, 'Create_time': 0.017142857142857144, 'Deadline': 0.2, 'Offset': 11, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01742857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0017142857142857133, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 11, 'Block_id': 0, 'Create_time': 0.015714285714285715, 'Deadline': 0.2, 'Offset': 10, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.01842857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0027142857142857134, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 11, 'Block_id': 0, 'Create_time': 0.015714285714285715, 'Deadline': 0.2, 'Offset': 10, 'Payload': 1480, 'Packet_size': 1500}
