{'priority': '1', 'block_id': 1, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 1.0, 'queue_ms': 0.0, 'propagation_ms': 2.2009768828026464, 'transmition_ms': 10.25, 'finish_timestamp': 11.25, 'miss_ddl': 0}
{'priority': '0', 'block_id': 0, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 0.0, 'queue_ms': 11.25, 'propagation_ms': 2.012806177218044, 'transmition_ms': 10.0, 'finish_timestamp': 21.25, 'miss_ddl': 0}
{'priority': '0', 'block_id': 3, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 3.0, 'queue_ms': 18.25, 'propagation_ms': 2.0301497693077395, 'transmition_ms': 10.416666666666666, 'finish_timestamp': 31.666666666666664, 'miss_ddl': 0}
{'priority': '0', 'block_id': 6, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 6.0, 'queue_ms': 25.666666666666664, 'propagation_ms': 2.1983987682608404, 'transmition_ms': 13.333333333333334, 'finish_timestamp': 45.0, 'miss_ddl': 0}
{'priority': '0', 'block_id': 9, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 9.0, 'queue_ms': 36.0, 'propagation_ms': 2.236379096113418, 'transmition_ms': 11.25, 'finish_timestamp': 56.25, 'miss_ddl': 0}
{'priority': '1', 'block_id': 7, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 7.0, 'queue_ms': 49.25, 'propagation_ms': 2.233981819183315, 'transmition_ms': 8.75, 'finish_timestamp': 65.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 2, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 2.0, 'queue_ms': 63.0, 'propagation_ms': 2.4470155958741295, 'transmition_ms': 8.0, 'finish_timestamp': 73.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 5, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 5.0, 'queue_ms': 68.0, 'propagation_ms': 2.300704417299767, 'transmition_ms': 8.0, 'finish_timestamp': 81.0, 'miss_ddl': 0}
{'priority': '1', 'block_id': 4, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 4.0, 'queue_ms': 77.0, 'propagation_ms': 2.3018080529820426, 'transmition_ms': 8.0, 'finish_timestamp': 89.0, 'miss_ddl': 0}
{'priority': '2', 'block_id': 8, 'size': 200000.0, 'deadline': 200.0, 'timestamp': 8.0, 'queue_ms': 81.0, 'propagation_ms': 2.221385937006472, 'transmition_ms': 8.0, 'finish_timestamp': 97.0, 'miss_ddl': 0}
